gene_id	 SRR006295	SRR006296	SRR006297	SRR006300	SRR006301	SRR006302	SRR006303	SRR006304	SRR029309	SRR029310	
Cm_g10410	2	0	1	0	0	0	0	0	0	0
Cm_g1041	11	0	0	14	0	0	0	0	0	0
Cm_g10411	2	1	2	12	0	2	6	7	0	1
Cm_g10412	0	0	0	0	0	0	0	0	0	0
Cm_g10413	6	18	16	17	12	23	4	24	15	23
Cm_g10414	0	0	0	0	1	0	0	0	0	0
Cm_g10415	0	1	0	1	1	3	2	0	0	2
Cm_g10416	0	0	0	0	0	0	0	0	0	0
Cm_g10417	0	2	0	6	1	3	0	11	1	1
Cm_g10418	0	0	0	0	0	0	0	0	0	0
Cm_g10419	0	0	0	0	0	1	0	0	0	0
Cm_g10420	0	0	0	0	0	0	0	0	0	0
Cm_g10421	0	0	0	0	0	0	0	0	0	0
Cm_g1042	1	1	0	4	3	5	5	8	1	0
Cm_g10422	0	0	0	0	0	0	0	0	0	0
Cm_g10423	0	0	0	0	0	0	0	0	0	0
Cm_g10424	0	0	0	0	0	0	0	0	0	0
Cm_g10425	0	0	0	0	0	0	0	0	0	0
Cm_g10426	0	0	0	0	0	0	0	0	0	0
Cm_g10427	0	0	0	0	0	0	0	0	0	0
Cm_g10428	0	0	0	0	0	0	0	0	0	0
Cm_g10429	0	0	0	0	0	0	0	0	0	0
Cm_g10430	0	0	0	0	0	0	0	0	0	0
Cm_g1043	0	0	0	2	0	0	0	0	0	0
Cm_g10431	1	5	0	2	1	1	0	2	1	2
Cm_g10432	5	1	3	7	1	6	3	3	2	5
Cm_g10433	6	2	1	1	1	5	0	5	2	1
Cm_g10434	1	1	1	1	1	1	0	2	2	0
Cm_g10435	1	0	1	1	0	1	1	1	0	4
Cm_g10436	0	0	0	0	0	0	0	0	0	0
Cm_g10437	0	3	6	4	0	5	4	7	5	12
